"","acacia constricta","acacia cornigera","acacia dealbata","acacia farnesiana","acacia hindsii","acacia mayana","acacia pennatula","acacia saligna","acrostichum danaeifolium","anemopaegma album","banisteriopsis campestris","banisteriopsis malifolia","bauhinia yunnanensis","bignonia capreolata","caryocar brasiliense","catalpa bignonioides","catasetum integerrimum","cayratia japonica","cecropia obtusa","chamaecrista fasciculata","chilopsis linearis","cissus repens","clerodendrum bungei","conocarpus erectus","cordia nodosa","croton lachnostachyus","croton sarcopetalus","crypteronia griffithii","cycnoches ventricosum","cylindropuntia imbricata","elingamita johnsonii","encyclia cordigera","eucalyptus tetrodonta","ferocactus gracilis","ferocactus viridescens","ferocactus wislizeni","foeniculum vulgare","gossypium hirsutum","heliconia stricta","heteropterys byrsonimifolia","hirtella physophora","humboldtia brunonis","inga densiflora","ipomoea carnea","kennedia rubicunda","khaya senegalensis","leea glabra","leea indica","leonardoxa africana","leucaena esculenta","leucaena leucocephala","leucospermum conocarpodendron","lobelia laxiflora","luffa cylindrica","maieta guianensis","mallotus japonicus","melampodium divaricatum","mentha piperita","morinda citrifolia","opuntia engelmannii","opuntia stricta","ouratea spectabilis","palicourea rigida","passiflora ambigua","passiflora auriculata","passiflora caerulea","passiflora coriacea","passiflora glandulosa","passiflora siamica","pentaclethra macroloba","pleopeltis crassinervata","polypodium furfuraceum","populus tremuloides","prosopis juliflora","pseudocedrela kotschyi","pteridium aquilinum","qualea multiflora","roupala montana","saraca thaipingensis","scaevola taccada","senna hebecarpa","solanum lycocarpum","spathoglottis plicata","tabebuia rosea","tecoma stans","tetrastigma pedunculare","thunbergia grandiflora","triadica sebifera","tripsacum dactyloides","turnera ulmifolia","vanda coerulea","vicia faba","vicia sativa"
"anoplolepis gracilipes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"aphaenogaster cockerelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"azteca andreae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brachymyrmex brevicornis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brachymyrmex depilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brachymyrmex heeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brachymyrmex minutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brachymyrmex obscurior",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"camponotus acvapimensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"camponotus blandus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
