"","acacia blakelyi","acacia collinsii","acacia concurrens","acacia ligulata","acacia pycnantha","acacia retinodes","achillea millefolium","aechmea mertensii","agathosma ovata","agrostis capillaris","alchornea glandulosa","anchusa crispa","anthurium gracile","arum italicum","asarum canadense","asarum europaeum","ballota nigra","bromus polyanthus","cabralea canjerana","caesalpinia melanadenia","calicotome spinosa","carex pilulifera","carica papaya","chelidonium majus","citharexylum myrianthum","clusia criuva","codonanthe calcarata","codonanthe uleana","copaifera langsdorffii","corema conradii","corydalis ambigua","corydalis cava","crataegus monogyna","croton priscus","croton sonderianus","datura wrightii","daviesia triflora","dendromecon rigida","dianthus barbatus","dianthus deltoides","dicentra peregrina","dysoxylum alliaceum","erythronium americanum","erythronium japonicum","euphorbia characias","euphorbia esula","festuca arundinacea","genista linifolia","globba lancangensis","grevillea rosmarinifolia","guazuma ulmifolia","helleborus foetidus","hepatica nobilis","ilex aquifolium","jatropha excisa","jatropha mollissima","leucospermum cordifolium","luzula campestris","luzula multiflora","mabea fistulifera","manihot esculenta","manihot tristis","melampyrum pratense","nigella damascena","paranomus reflexus","peperomia macrostachya","phillyrea angustifolia","pistacia lentiscus","pithecellobium dulce","plantago insularis","poa interior","podalyria calyptrata","polygala myrtifolia","polygala vulgaris","portulacaria afra","prosopis flexuosa","prunus mahaleb","pultenaea daphnoides","rhamnus alaternus","ricinus communis","sanguinaria canadensis","sanvitalia fruticosa","schismus arabicus","scilla bifolia","senna macranthera","simarouba amara","spartium junceum","strychnos madagascariensis","taxus baccata","thesium chinense","thymus pulegioides","trillium grandiflorum","trillium reliquum","trillium tschonoskii","trillium undulatum","turnera ulmifolia","ulex minor","ulex parviflorus","veronica officinalis","viola nuttallii","viola odorata","viola pedata"
"acromyrmex lobicornis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acromyrmex striatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acromyrmex subterraneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aphaenogaster carolinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"aphaenogaster iberica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"aphaenogaster japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"aphaenogaster rudis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"aphaenogaster senilis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aphaenogaster swammerdami",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aphaenogaster treatae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
